Approved Symbol	Approved Name	Previous Symbols	Synonyms	Chromosome
A1BG	alpha-1-B glycoprotein			19q13.43
A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43
A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q21.1
A1S9T~withdrawn	symbol withdrawn, see UBA1			
A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5	12p13.31
A2M-AS1	A2M antisense RNA 1 (head to head)			12p13.31
A2ML1	alpha-2-macroglobulin-like 1	CPAMD9	FLJ25179	12p13
A2ML1-AS1	A2ML1 antisense RNA 1			12p13.31
A2ML1-AS2	A2ML1 antisense RNA 2			12p13.31
A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP		12p13.31
A2MRAP~withdrawn	symbol withdrawn, see LRPAP1			
A2MR~withdrawn	symbol withdrawn, see LRP1			
A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S	1p35.1
A4GALT	alpha 1,4-galactosyltransferase		A14GALT, Gb3S, P(k)	22q13.2
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT	3p14.3
A12M1~withdrawn	entry withdrawn			
A12M2~withdrawn	entry withdrawn			
A12M3~withdrawn	entry withdrawn			
A12M4~withdrawn	entry withdrawn			
AAAS	achalasia, adrenocortical insufficiency, alacrimia			12q13
AABT~withdrawn	entry withdrawn			
AAC1~withdrawn	symbol withdrawn, see NAT1			
AAC2~withdrawn	symbol withdrawn, see NAT2			
AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1	12q24.31
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL		5q35
AACT~withdrawn	symbol withdrawn, see SERPINA3			
AADAC	arylacetamide deacetylase		DAC, CES5A1	3q25.1
AADACL2	arylacetamide deacetylase-like 2		MGC72001	3q25.1
AADACL2-AS1	AADACL2 antisense RNA 1			3q25.1
AADACL3	arylacetamide deacetylase-like 3		OTTHUMG00000001887	1p36.21
AADACL4	arylacetamide deacetylase-like 4		OTTHUMG00000001889	1p36.21
AADACP1	arylacetamide deacetylase pseudogene 1			3q25.1
AADAT	aminoadipate aminotransferase		KATII, KAT2	4q33
AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21		9q22.32
AAGAB	alpha- and gamma-adaptin binding protein		FLJ11506, p34	15q22.33-q23
AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132	2p13.3
AAMDC	adipogenesis associated, Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067	11q14.1
AAMP	angio-associated, migratory cell protein			2q
AANAT	aralkylamine N-acetyltransferase		SNAT	17q25.1
AAR2	AAR2 splicing factor homolog (S. cerevisiae)	C20orf4	bA234K24.2	20q11.23
